Name,Path,Title,Summary,K1,K2,K3,K4,K5
1010,articles/1010.txt,"Antibiotics can fight viral infections, such as cold, flu, and most coughs"," Alexander Fleming discovered penicillin, the first natural antibiotic, in 1928 . Antibiotics are powerful medicines that fight certain infections . They either kill or slow down the growth of bacteria and stop them reproducing . Side effects can include diarrhea, an upset stomach, and nausea . If people overuse antibiotics or use them incorrectly, bacteria might become resistant . Antibiotics cause the following side effects: diarrhea, nausea, vomiting, rash, upset stomach, with certain antibiotics or prolonged use, fungal infections of the mouth, digestive tract, and vagina . Less common side effects of antibiotics include kidney stones, abnormal blood clotting, sensitivity to sunlight, blood disorders, when taking tetracyclines, and deafness .",antibiotics,antibiotic,penicillin,antibacterial,amoxicillin
1011,articles/1011.txt,How to feel numbness in the legs and feet," A person may feel numbness in their legs and feet due to sitting in a position that puts too much pressure on the nerves or reduces blood flow . Long-term numbness may be due to conditions such as MS, diabetes, or fibromyalgia . Injuries to the torso, spine, hips, legs, ankles, and feet can put pressure on nerves . Some people with fibromyalgia also experience numbness and tingling in the hands and feet . Numbness is just one of the many symptoms associated with temporary and chronic numbness . A stroke or mini-strokes can sometimes cause temporary or long-term numbness in parts of the body . The proper treatment for numb legs and feet depends on the cause . Massaging numb legs and feet helps improve blood flow and may reduce symptoms . A lack of proper exercise can weaken the heart and blood vessels, reducing their ability to pump blood to the lower limbs . Heat can sometimes help loosen stiff, sore, or tense muscles that can put pressure on nerves .",numbness,numb,neuropathy,tingling,sclerosis
1012,articles/1012.txt,Left sided facial numbness Symptoms," Left sided facial numbness is a decreased or complete loss of sensation in this area of the body . Numbness on the left side of the face can present as a loss of feeling, but it may also produce a tingling or burning sensation . It is also possible for the facial muscles to become paralyzed and unable to move . Some of the causes of this symptom are easily treatable, but others are more serious . Numbness on the left side of the face can be a sign of several possible conditions . It is important to see a doctor when experiencing left sided facial numbness for the first time . Some causes, such as infections, are easily treatable with the right medications . For example, tick bites can cause a bacterial infection that leads to Lyme disease . Shingles is a reactivation of a viral infection that affects the nerves .",numbness,stroke,headache,migraine,neurological
1013,articles/1013.txt,9 Common Causes of a numb chin," A numb chin is generally a sign of a disorder within the nerves of the face . The causes of numb chin vary widely . Numb chin syndrome is a rare neurological condition . It causes damage in the mental nerve, which controls the chin and lower lip . People with NCS experience a tingling or stinging sensation in their chin as if it has fallen asleep . Lingering symptoms may be an indicator of damage to the nerves of the chin . A tooth or gum abscess is a pocket of pus that builds up in the tissues in the gums . As the abscess grows, it may cause inflammation that puts pressure on the mental nerve, leading to numbness . Several other issues may also cause a numb chin, including MS and diabetes .",numbness,numb,chin,numbing,diagnosis
1014,articles/1014.txt,How to Feel Hotter than usual if you have an underlying health condition," Sweating more or feeling hotter than usual can be due to medication, hormonal changes, or it may be a sign of an underlying health condition . Certain medications can cause people to feel hotter or more than usual . Symptoms include increased pulse, dry mouth, excessive worry, shaking or trembling, difficulty sleeping, inability to relax . People with multiple sclerosis (MS) may experience paroxysmal symptoms . The body’s ability to adjust to sudden temperature changes becomes less effective as people age . Older adults are more likely to have a medical condition that affects how the body responds to heat . Certain medications, changes in hormones, and some health conditions can all cause an individual to sweat more or feel hotter than usual . People should seek medical attention if they show signs of heat-related illness .",sweating,sweatingstaying,sweat,overheating,hotter
1015,articles/1015.txt,"A study in mice has shown that a change in diet may slow diseases that involve the activation of the immune system, such as Multiple sclerosis (MS)"," A study in mice has shown that a change in diet may slow diseases that involve the activation of the immune system . Could the findings lead to improved treatments in humans? In the United States, nearly 1 million people over the age of 18 are living with a diagnosis of MS . MS is the most common of the inflammatory disorders with an autoimmune component .",sclerosis,autoimmune,inflammation,dietary,immune
1016,articles/1016.txt,How to slow the progression of MS in a person’s early stages," Multiple sclerosis (MS) is an autoimmune condition in which the immune system mistakenly attacks healthy tissue around the central nervous system . There is no known way to cure MS or prevent it from developing . There are a few ways in which a person may be able to slow the progression of MS . Early diagnosis is important, as permanent neurological damage can occur in the earliest stages . Adopting a healthful diet can help people with MS, as obesity may be a risk factor . There are a few things that can exacerbate MS symptoms . Smoking can increase the chance of chest infections and, in turn, increase the risk of a relapse . When the weather is very hot or humid, people with MS may experience a worsening of symptoms . Stress from a lack of sleep, emotional upheaval, illnesses, or anxiety may aggravate a person’s symptoms .",sclerosis,ms,microglia,diagnosed,syndrome
1017,articles/1017.txt,"Multiple sclerosis (MS) is difficult to diagnose, and as yet, it has no cure."," MS is a chronic disease of the central nervous system that disrupts nerve signals between the brain and the rest of the body . Nearly 1 million people in the U.S. over the age of 18 years live with a diagnosis of MS, and 2.3 million people globally have the condition .",sclerosis,ms,myelin,diagnosis,disease
1018,articles/1018.txt,New research investigates the effect of following a Wahls paleo diet on fatigue in multiple sclerosis (MS)," New research investigates the effect of following a Wahls paleo diet on fatigue in MS . Researchers tracked changes in the participants’ body mass index (BMI), calorie intake, cholesterol levels, exercise, meditation and stress reducing self-massages . The study found that higher levels of good cholesterol, or ""good "" cholesterol, correlated with improvements in fatigue . Reductions in total cholesterol also correlated with a reduction in exhaustion .",diet,fatigue,sclerosis,dietary,metabolism
1019,articles/1019.txt,Symptoms of syringomyelia," Syringomyelia is a rare disorder in which a fluid filled cyst forms in the spinal cord . Cerebrospinal fluid surrounds and protects the brain and spinal cord and forms a cyst called a syrinx . Over time, the cyst gets bigger and can damage the nerve fibers . In most cases, people have a type of syringomelia called congenital syringomylia . This is due to an abnormality called a Chiari malformation, which can happen when the fetus is developing in the womb . Symptoms include muscle weakness in the arms and legs that worsens with time . To diagnose syringomyelia, a doctor will first take a medical history and ask a person about their symptoms . They will then carry out a variety of tests to determine whether a syrinx is affecting the flow of cerebrospinal fluid . Doctors may also use a CT scan to provide a detailed image of the spinal cord and surrounding tissues . Treatment will vary depending on the severity of the symptoms .",syringomyelia,syringobulbia,cyst,malformation,congenital
102,articles/102.txt,How to use peak flow meters for asthma symptoms," A peak flow meter is a tool that measures the peak expiratory flow rate (PEFR) The PEFR is the amount of air a person can quickly force out of their lungs in one breath . People primarily use PEFR measurements as a guide for managing asthma symptoms . Doctors may also recommend peak flow measurements for people with COPD to determine an increase in symptoms . A peak flow meter is a small device that measures the amount of air a person can forcefully blow out of their lungs in one fast breath . It is one indicator of airways changes that may occur in people with asthma or COPD . People should take a peak flow measurement while standing up . Peak flow predictions vary based on a person’s sex, age, and height .",meter,expiratory,measuring,asthma,exhale
1020,articles/1020.txt,"SARS-CoV-2, the virus that causes the disease COVID-19, is highly contagious, especially through close personal contact."," SARS-CoV-2, the virus that causes the disease COVID-19, is highly contagious, especially through close personal contact . Most people who become severely ill or die from the disease have serious underlying illnesses . Having MS does not necessarily increase the risk of contracting the virus . Specific people with MS may, however, face a higher risk . Some symptoms include a fever, a cough, especially a dry or unproductive cough . Symptoms can vary from person to person and may be similar to cold or flu symptoms . There is currently no cure for COVID-19 . Instead, treatment focuses on managing symptoms and reducing the risk of complications .",ms,sclerosis,coronavirus,covid,virus
1021,articles/1021.txt,"White matter disease, or leukoaraiosis, involves the degeneration of white matter in the brain"," White matter disease, or leukoaraiosis, involves the degeneration of white matter in the brain . White matter is tissue that includes nerve fibers (axons), which connect nerve cells . Myelin is a layer of insulation that protects nerves in brain and spinal cord . As a result, damage to this tissue can lead to issues with: problem-solving, memory and focus, mood, balance, walking . At present, there is no universal staging system for the various forms of white matter disease . Some researchers have proposed a staging procedure for white matter lesions, which they suggest would help healthcare professionals classify people into stages . Specific forms of disease, such as MS or progressive multifocal leukoencephalopathy, may require other treatments .",leukoencephalopathy,leukoaraiosis,myelination,sclerosis,neurological
1022,articles/1022.txt,The Causes of Right sided facial numbness," Right sided facial numbness is a symptom of an underlying condition rather than a condition in itself . Different nerves control facial feeling and muscle movement . Some people may experience a complete loss of feeling in the affected side of the face . Other causes include a stroke, Bell’s palsy and stroke . Multiple sclerosis is an autoimmune condition that involves damage to the nerve cells in the spinal cord and brain . Numbness may affect one or both sides of the body . Other symptoms include: blurred vision, fatigue, impaired coordination, speech difficulties . Steroids may help reduce inflammation of the facial nerves and speed up recovery .",numbness,stroke,headache,migraine,neurological
1023,articles/1023.txt,New research distinguishes between two similar variants of the human herpesvirus 6 and finds that one variant significantly increases the risk of developing multiple sclerosis (MS)," MS is an autoimmune condition that affects around 400,000 people in the U.S. and 2. 5 million people worldwide . The medical community has not yet identified the cause of MS . Scientists have associated human herpesvirus 6 (HHV-6) with MS .",herpesvirus,ebv,sclerosis,lupus,autoimmune
1024,articles/1024.txt,A new drug could help doctors diagnose multiple sclerosis — and identify the stage of its progression — with more accuracy," Multiple sclerosis (MS) is a currently incurable condition that affects the central nervous system . Around 250,000–350,000 individuals in the United States alone have a diagnosis of this condition . Researchers from Case Western Reserve University, in Cleveland, OH, have received approval from the Food and Drug Administration to start clinical trials in humans and test the effectiveness of Myeliviz as a diagnostic drug .",sclerosis,ms,neurological,myelin,neurodegeneration
1025,articles/1025.txt,How the gut microbiome responds to UV light," Scientists show that ultraviolet (UV) light exposure leads to changes in the gut microbiome, but only in volunteers who were deficient in vitamin D . Living at higher latitudes, which means less exposure to UV light and a greater chance of being vitamin D deficient, carries a higher risk of developing diseases .",vitamin,microbiome,ultraviolet,microbiota,microbiomes
1026,articles/1026.txt,Symptoms of numbness in the thigh," Meralgia paresthetica is a neurological condition that causes numbness or tingling on the outer and front aspect of the thigh . Wearing tight clothing around the waist, such as a tight belt, can also give rise to this condition . This article will cover some common underlying causes of numbness in one or both thighs . Treatment options depend on what is causing the numbness . A person may develop a tumor in the soft tissues of their thigh . This tumor might then press on the nerves and blood vessels, causing tingling and numbness . Numbness in the thigh is not always a cause for concern . Doctors may also recommend making lifestyle changes to promote blood flow to the legs .",numbness,paresthetica,thigh,nerve,numbing
1027,articles/1027.txt,New research suggests that moving one’s legs is crucial for brain health.," New research suggests that moving one’s legs is crucial for brain health . In fact, exercising leg muscles helps the brain to produce new neurons, the study suggests . The findings help researchers to better understand the progression of neurological and motor neuron diseases . The researchers were led by Raffaella Adami, of the Università degli Studi di Milano .",exercising,neuromuscular,exercise,neurological,muscle
1028,articles/1028.txt,"Neurodegenerative Diseases, such as Alzheimer’s and Huntington’s, share a mechanism of brain cell damage that could offer a new target for treatment, according to new research in human cells and mice"," Neurodegenerative diseases, such as Alzheimer’s, share a mechanism of brain cell damage that could offer a new target for treatment . The mechanism involves microglia and astrocytes, two types of cell that normally help to protect neurons, or nerve cells . The researchers are continuing their investigations to find out exactly how damaged mitochondria from glial cells trigger death of neurons .",microglia,neurodegenerative,alzheimer,glial,neuroscience
1029,articles/1029.txt,Motor neuron diseases are a group of conditions that cause the nerves in the spine and brain to lose function over time.," Motor neuron diseases are a group of conditions that cause the nerves in the spine and brain to lose function over time . They are a rare but severe form of neurodegenerative disease . Motor neurons are nerve cells that send electrical output signals to the muscles, affecting the muscles’ ability to function . ALS, or Lou Gehrig’s disease, is the most common type, affecting both the upper and lower motor neurons (neurons in the brain and spinal cord) It affects the muscles of the arms, legs, mouth, and respiratory system . The symptoms will depend on the type of MND a person has and which part of the body it affects . MNDs can occur in adults or children, depending on the type of condition . Inherited forms of the condition may be present at birth . They are most likely to appear after the age of 40 years . Doctors often find it difficult to diagnose MND in the early stages as it can resemble MS . Drugs appear to be effective at slowing the progress of some types of MND . In time, a person may need special devices for: moving around, communicating with others, feeding and swallowing, breathing .",neurodegenerative,neurological,als,alzheimer,dementia
103,articles/103.txt,How to Treat An Allergen-Based Fatigue," Allergic reactions release chemicals that can cause an inflammatory response . This can cause itching, swelling, narrowing of the airways, and tiredness . Some allergy medications can lead to drowsiness and other effects on sleep . The right treatment for an allergy can help resolve tiredness and other symptoms . An allergist is a physician with specific training in identifying allergens and treating allergic diseases . Allergies can make people feel tired for a few reasons . Fatigue can cause difficulty concentrating, difficulty making decisions, irritability, reduced performance at work or school . Some allergy medications, meanwhile, can cause drowsiness or interfere with sleep . If fatigue is interfering with daily life, especially if it is extreme, a doctor should see a doctor .",allergies,allergy,allergic,immunoglobulin,antibody
1030,articles/1030.txt,The Most Common Types of Ataxia," Ataxia is a lack of muscle coordination that may affect a person’s speech, eye movements, and ability to swallow, walk, and pick up objects . Many conditions and other factors can cause ataxia, including MS, head trauma, excessive alcohol intake, a stroke, cerebral palsy, genetics, and tumors . There are many types of the most common types, including cerebellar and vestibulocerebellum . Symptoms vary depending on the type and severity of ataxia . Ataxia telangiectasia can appear in childhood, and Friedreich’s is a progressive, progressive form . Symptoms include: poor limb coordination, speech problems, difficulty producing speech, and problems controlling volume, rhythm, and pitch . In time, other symptoms may appear, such as: difficulty swallowing, leading to choking or coughing, tremors, shaking, or trembling in parts of the body . Ataxia telangiectasia can result from: a genetic feature, a health condition that leads to nerve damage, such as a stroke or MS, a vitamin B-12 deficiency, an immunological problem . In some cases, the severity can worsen from one generation to the next, and the age of onset can get younger .",ataxia,sclerosis,syndrome,neurological,disease
1031,articles/1031.txt,Electromyography (EMG): A Diagnostic Test that Measures How well the muscles respond to the electrical signals emitted to specialized nerve cells called motor nerves, Electromyography (EMG) is a diagnostic test that measures how well the muscles respond to electrical impulses . A doctor may order an EMG test if a person has symptoms of a muscle or nerve condition . Doctors often conduct EMG tests in conjunction with nerve conduction velocity (NCV) tests . EMG and NCV tests are safe procedures that pose little risk of serious side effects or complications . An EMG test is a minimally invasive procedure that health professionals use to diagnose and monitor muscle dysfunction . An NCV test measures the strength and speed of electrical impulses as they move through nerves . Doctors often use these results alongside those of EMG tests to get a full picture of what is going on with nerves .,electromyography,electrodiagnostic,emg,neuromuscular,neuropathy
1032,articles/1032.txt,ALS: A New Approach to preventing the formation of toxic TDP-43 deposits in the affected nerve cells," Scientists at the University of Pittsburgh in Pennsylvania have developed an approach that could prevent the formation of toxic TDP-43 protein deposits . Postmortem evidence suggests that 97 percent of people with amyotrophic lateral sclerosis (ALS) have these toxic protein deposits in the affected nerve cells . The study is unique in that it focuses on proteins rather than genes . Scientists have proposed that ALS and frontotemporal dementia lie at different points on the same neurodegenerative disease spectrum . They used optogenetics to create ALS-like disease conditions in a dish and then observed what happened when they nudged the TDP-43 proteins toward each other . The approach worked: the proteins did not form deposits in the presence of introduced oligonucleotides, and the cells continued to live .",neurodegenerative,alzheimer,neurological,synuclein,protein
1033,articles/1033.txt,IL-4 and nanoparticles of gold work well on inflammation and can also promote muscle regeneration," Researchers have found that nanoparticles of gold, attached to natural anti-inflammatory agents, work well on inflammation and can also promote muscle regeneration . When used in injured muscle tissue, it prompts muscle regeneration and keeps that IL-4 where it is needed most, instead of allowing it to wander through the bloodstream and become less potent over time .",inflammation,inflammatory,cytokine,interleukin,regeneration
1034,articles/1034.txt,ALS: a new drug target for people with ALS," Amyotrophic lateral sclerosis (ALS) is a neurodegenerative condition that affects a person’s motor neurons . ALS currently has no known cure . The FDA has only approved two drugs that slow down the disease, riluzole and edaravone . New research may help change these limited treatment options .",neurodegenerative,als,neurological,amyotrophic,fda
1035,articles/1035.txt,"Muscle Atrophy: Causes, symptoms, and treatments of muscle atrophy"," Lack of physical activity, poor nutrition, genetics, and medical conditions can all contribute to muscle atrophy . Getting regular exercise and trying physical therapy may reverse this form of atrophy. People can treat it by making certain lifestyle changes, or undergoing surgery . A loss of muscle mass may be the inevitable result of the natural aging process . Muscle atrophy is characterized by a significant shortening of the muscle fibers and a loss of overall muscle mass . The symptoms of muscle atrophy vary widely depending on the cause and severity of muscle loss . Treatments include physical therapy, nutritional intervention, or surgery . Treating the underlying condition causing the muscle loss may help slow down the progression of the loss .",atrophy,muscle,dystrophy,malnutrition,muscular
1036,articles/1036.txt,"Amyotrophic lateral sclerosis, or ALS, is a progressive neurodegenerative disease that leads to the death of nerve cells that control movement, leaving people unable to move and, eventually, to breathe"," Amyotrophic lateral sclerosis, or Lou Gehrig’s disease, affects approximately 30,000 people in the United States alone . ALS is a progressive neurodegenerative disease that leads to the death of nerve cells that control movement . The researchers reanalyzed samples of motor neurons and associated cells that had been collected from the spinal cords of individuals who had died because of ALS and from those of healthy people without ALS .",neurodegenerative,als,neurological,paralysis,sclerosis
1037,articles/1037.txt,A new study brings hope for people with ALS.," ALS affects over 20,000 people in the United States at any given time . ALS is also known as Lou Gehrig’s disease, named after the famous baseball player who was diagnosed with the disease in the 1930s . Researchers injected a type of immune T cell called regulatory T cells (Tregs) into three ALS patients . Tregs help to stave off the inflammation that characterizes ALS and speeds up the disease .",als,neurodegenerative,neurological,diagnosed,disease
1038,articles/1038.txt,Muscle wasting is a loss of muscle mass due to the muscles weakening and shrinking.," The symptoms of muscle wasting depend on the severity of muscle mass loss . Symptoms include reduced muscle strength, impaired ability to perform physical activities . Diagnosis usually occurs after a medical history review and physical examination . Medical conditions that can cause muscle wasting include the following: Amyotrophic lateral sclerosis, muscular dystrophy and multiple sclerosis . Getting treatment for muscle wasting is vital for a person’s overall well-being . Muscle wasting occurs with many types of illness and disease, including ALS, muscular dystrophy, and MS . Treating the condition as soon as possible may prevent or slow significant muscle loss . Exercise to build strength is one of the main ways to prevent and treat muscle wasting .",dystrophy,atrophy,wasting,muscle,sclerosis
1039,articles/1039.txt,Multiple sclerosis and amyotrophic lateral sclerosis are both progressive diseases that affect the central nervous system," MS and ALS are neurodegenerative diseases that affect the central nervous system . In MS, the body’s immune system mistakenly attacks myelin, the substance that protects the nerves . ALS is not an autoimmune disease, but MS probably results from a faulty immune reaction . MS is more common, affecting nearly 1 million adults in the United States, according to the National Multiple Sclerosis Society . ALS mainly affects physical functions, while MS can lead to problems with memory and thinking . MS and ALS have symptoms that can appear similar, but there are also key differences . Both are degenerative diseases that can progress over time . MS symptoms vary widely from person to person . ALS symptoms can begin in the muscles that control speech and swallowing . There is currently no cure for MS or ALS but treatment is available to slow progression .",sclerosis,ms,neurological,neurodegenerative,myelin
104,articles/104.txt,The Causes and Treatment of Dry Skin and Acne," Some people will develop dry skin and acne at the same time . Dry skin is usually the result of an underlying condition, such as dermatitis . Acne is caused by blocked hair follicles and dead skin build up . Treatments for dry skin might involve using a moisturizer, which helps reduce dryness . Using gentle, fragrance-free products on the skin may prevent dry skin flare-ups . Regularly moisturizing the skin, especially after a bath or shower, may also help treat dry skin . In severe cases, a dermatologist might prescribe corticosteroids or immunosuppressant drugs .",acne,dermatitis,dermatology,eczema,skin
1040,articles/1040.txt,"A new study suggests pollutants may raise the risk of people developing ALS, but also make the disease advance faster"," Amyotrophic lateral sclerosis (ALS) is a neurodegenerative condition that affects a person’s motor neurons . In 2015, there were more than 16,000 cases of ALS in the United States . Researchers examined the blood levels of various pollutants in 167 people with ALS . The study found that participants in the highest-concentration quartile were likely to survive for 1 year and 11 months .",neurodegenerative,pesticides,amyotrophic,als,pesticide
1041,articles/1041.txt,"New research has revealed greater detail about the brain’s structure, suggesting avenues for future research into Alzheimer’s disease and related illnesses"," Scientists previously thought that glial cells functioned as a putty or glue for the more significant neuron cells . Glial cells may play an important role in the development of neurodegenerative illnesses such as Alzheimer’s disease . By better understanding the structure of astrocytes, researchers hope to develop new therapeutic interventions that can target Alzheimer's disease .",astrocyte,glial,alzheimer,neurodegenerative,neuronal
1042,articles/1042.txt,The Overproduction of Protein in Microglia in the developing brain," A recent study in mice investigates immune cells called microglia in the developing brain . Failure of these cells to perform an essential housekeeping role may lead to autism spectrum disorder in boys . Boys are four times more likely than girls to develop the disorder than girls . Microglia may make a good target for future drugs that could treat or even prevent ASD . A subset of ASD genes is known to increase protein production in cells via a common metabolic pathway, which these genes all disrupt in some way . Between them, the authors of the current study note, these particular genes account for about 3% of all ASD cases . The researchers genetically engineered mice to make abnormally high levels of eIF4E in either their microglial cells, their neurons or another type of brain cell called an astrocyte .",microglia,microglial,autism,synapsis,synapse
1043,articles/1043.txt,Neuropsychiatric Disorders — a new study by Dr Si-Qiong June Liu of LSU Health New Orleans School of Medicine," Astrocytes, which are brain cells that regulate neuronal communication, show long-term degradation from stress . When experiencing stress, the astrocytes shrink away from synapses resulting in disruption of neural communication . Scientists hope to develop strategies to prevent or treat these common stress-related neurological disorders .",astrocytes,neuroscience,microglia,astrocyte,stress
